cal,satfat,points
20,0,0.5
20,0.5,0.5
20,1,0.5
20,1.5,0.5
20,2,1

40,0,0.5
40,0.5,0.5
40,1,1
40,1.5,1
40,2,1
40,2.5,1
40,3,1.5
40,3.5,1.5
40,4,1.5

60,0,1
60,0.5,1
60,1,1
60,1.5,1
60,2,1.5
60,2.5,1.5
60,3,1.5
60,3.5,1.5
60,4,2
60,4.5,2
60,5,2
60,6,2.5

80,0,1
80,0.5,1.5
80,1,1.5
80,1.5,1.5
80,2,1.5
80,2.5,2
80,3,2
80,3.5,2
80,4,2
80,4.5,2.5
80,5,2.5
80,6,2.5
80,7,3
80,8,3

100,0,1.5
100,0.5,1.5
100,1,1.5
100,1.5,1.5
100,2,2
100,2.5,2
100,3,2
100,3.5,2.5
100,4,2.5
100,4.5,2.5
100,5,2.5
100,6,3
100,7,3
100,8,3.5
100,9,3.5
100,10,4



